"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
""	""	"SLAMF8"	""	""	""	""	""	"PVRIG"	"NKG7"	""	""	""	""	"SLC11A1"	""	""	""
""	""	"STAB1"	""	""	""	""	""	"RGS1"	"PRF1"	""	""	""	""	"STAB1"	""	""	""
""	""	"TFEC"	""	""	""	""	""	"SAMSN1"	"PTPRC"	""	""	""	""	"TLR2"	""	""	""
""	""	"TNFAIP6"	""	""	""	""	""	"SELPLG"	"PTPRCAP"	""	""	""	""	"TREM1"	""	""	""
""	""	"TRAF1"	""	""	""	""	""	"STAP1"	"PVRIG"	""	""	""	""	"VASP"	""	""	""
""	""	"TREM2"	""	""	""	""	""	"TRADD"	"RGS1"	""	""	""	""	"WAS"	""	""	""
""	""	""	""	""	""	""	""	"TRAF1"	"RHOG"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TRAF3IP3"	"SEC24A"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"TRAT1"	"TMC6"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZAP70"	"TRADD"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	"TRAF3IP3"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	"WAS"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	"ZAP70"	""	""	""	""	""	""	""	""
