"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
""	""	"SIGLEC7"	""	"NCKAP1L"	""	""	""	""	""	""	""	""	""	"TYROBP"	""	""	""
""	""	"SIGLEC9"	""	"NRBP1"	""	""	""	""	""	""	""	""	""	"WAS"	""	""	""
""	""	"SLAMF8"	""	"OSBPL11"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"SLITRK3"	""	"PHLDB1"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"STAT2"	""	"PILRA"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"TCF21"	""	"PKD2L1"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"TFEC"	""	"PLA2G7"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"TLR7"	""	"RAB3IL1"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"TNFAIP6"	""	"RENBP"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"TREM2"	""	"RTN4"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"UBE2Z"	""	"SDS"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"VRK2"	""	"SIGLEC1"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"SIGLEC7"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"SIGLEC9"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"SLAMF8"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"SLC11A1"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"SLC38A7"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"SNX3"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TCEAL4"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TFEC"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TIE1"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TMEM127"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TNFRSF12A"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TREM2"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"TYROBP"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"VIM"	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	"VSIG4"	""	""	""	""	""	""	""	""	""	""	""	""	""
