"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Monocytes"	"Plasma_cells"	"Endothelial"	"Fibroblasts"
""	""	"RAPGEF1"	""	""	""	""	""	"NFKB1"	"PTGDR"	""	""	""	""	"WAS"	""	""	""
""	""	"RHOG"	""	""	""	""	""	"OSM"	"PTPRC"	""	""	""	""	"WTAP"	""	""	""
""	""	"RNASE6"	""	""	""	""	""	"PIK3IP1"	"PTPRCAP"	""	""	""	""	""	""	""	""
""	""	"RSAD2"	""	""	""	""	""	"PTGER2"	"PVRIG"	""	""	""	""	""	""	""	""
""	""	"SAMSN1"	""	""	""	""	""	"PTPRCAP"	"PYHIN1"	""	""	""	""	""	""	""	""
""	""	"SIGLEC1"	""	""	""	""	""	"PVRIG"	"RGS1"	""	""	""	""	""	""	""	""
""	""	"SLAMF1"	""	""	""	""	""	"RGS1"	"RHOG"	""	""	""	""	""	""	""	""
""	""	"SLAMF8"	""	""	""	""	""	"SAMSN1"	"SASH3"	""	""	""	""	""	""	""	""
""	""	"SNX11"	""	""	""	""	""	"SELPLG"	"SLAMF1"	""	""	""	""	""	""	""	""
""	""	"SPIB"	""	""	""	""	""	"SLAMF1"	"TBX21"	""	""	""	""	""	""	""	""
""	""	"STAB1"	""	""	""	""	""	"STAP1"	"TMC6"	""	""	""	""	""	""	""	""
""	""	"TFEC"	""	""	""	""	""	"TBX21"	"TNFSF8"	""	""	""	""	""	""	""	""
""	""	"TNFAIP6"	""	""	""	""	""	"TNFRSF4"	"TRAF3IP3"	""	""	""	""	""	""	""	""
""	""	"TNFRSF4"	""	""	""	""	""	"TNFSF8"	"TSC22D3"	""	""	""	""	""	""	""	""
""	""	"TRAF1"	""	""	""	""	""	"TRAF1"	"WAS"	""	""	""	""	""	""	""	""
""	""	"UBE2Z"	""	""	""	""	""	"TRAF3IP3"	"XCL1"	""	""	""	""	""	""	""	""
""	""	"WTAP"	""	""	""	""	""	"TRAT1"	"ZAP70"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"YME1L1"	"ZBTB1"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZAP70"	"ZC3HAV1"	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ZC3HAV1"	""	""	""	""	""	""	""	""	""
