"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
""	""	"OSM"	""	""	""	""	""	"LCK"	"LAG3"	""	""	""	""	""	""	"TLR8"	""	"CD80"
""	""	"PLA2G7"	""	""	""	""	""	"LTB"	"LCK"	""	""	""	""	""	""	"WAS"	""	"CD84"
""	""	"RNASE6"	""	""	""	""	""	"LY9"	"LTB"	""	""	""	""	""	""	""	""	"CD86"
""	""	"SAMSN1"	""	""	""	""	""	"OSM"	"LY9"	""	""	""	""	""	""	""	""	"CD8B"
""	""	"SIGLEC1"	""	""	""	""	""	"PTGER2"	"MYO1F"	""	""	""	""	""	""	""	""	"CD96"
""	""	"SLAMF1"	""	""	""	""	""	"PTPRCAP"	"NCR3"	""	""	""	""	""	""	""	""	"CHI3L1"
""	""	"SLAMF8"	""	""	""	""	""	"SAMSN1"	"NKG7"	""	""	""	""	""	""	""	""	"CISH"
""	""	"SPIB"	""	""	""	""	""	"SELPLG"	"PRF1"	""	""	""	""	""	""	""	""	"CLEC10A"
""	""	"STAB1"	""	""	""	""	""	"SLAMF1"	"PTGDR"	""	""	""	""	""	""	""	""	"CLEC4A"
""	""	"TFEC"	""	""	""	""	""	"STAP1"	"PTPRC"	""	""	""	""	""	""	""	""	"CLEC4E"
""	""	"TREM2"	""	""	""	""	""	"TBX21"	"PTPRCAP"	""	""	""	""	""	""	""	""	"CLEC7A"
""	""	""	""	""	""	""	""	"TNFSF8"	"PYHIN1"	""	""	""	""	""	""	""	""	"CLIC2"
""	""	""	""	""	""	""	""	"TRAF3IP3"	"SASH3"	""	""	""	""	""	""	""	""	"CR1"
""	""	""	""	""	""	""	""	"TRAT1"	"SLAMF1"	""	""	""	""	""	""	""	""	"CRTAM"
""	""	""	""	""	""	""	""	"ZAP70"	"TBX21"	""	""	""	""	""	""	""	""	"CSF1"
""	""	""	""	""	""	""	""	""	"TMC6"	""	""	""	""	""	""	""	""	"CSF1R"
""	""	""	""	""	""	""	""	""	"TNFSF8"	""	""	""	""	""	""	""	""	"CSF2RB"
""	""	""	""	""	""	""	""	""	"TRAF3IP3"	""	""	""	""	""	""	""	""	"CSF3R"
""	""	""	""	""	""	""	""	""	"WAS"	""	""	""	""	""	""	""	""	"CST7"
""	""	""	""	""	""	""	""	""	"XCL1"	""	""	""	""	""	""	""	""	"CTLA4"
""	""	""	""	""	""	""	""	""	"ZAP70"	""	""	""	""	""	""	""	""	"CTSW"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CX3CR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL10"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL11"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYBA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYBB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYTH4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DOK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DPEP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EBI3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EMR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EOMES"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FAIM3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FASLG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCAR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCER1A"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCRL2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGFBP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGL2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGR"
