"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
""	""	"HAVCR2"	""	"LILRA2"	""	""	""	"IL2RA"	"IFNG"	"LCP2"	""	"PILRA"	""	""	""	"KDM6B"	""	"CD27"
""	""	"HCK"	""	"LILRB1"	""	""	""	"IL2RB"	"IL10RA"	"MTDH"	""	"PLEKHB2"	""	""	""	"LILRA1"	""	"CD300A"
""	""	"HK3"	""	"MS4A6A"	""	""	""	"ITGB7"	"IL18RAP"	"NKG7"	""	"SIGLEC1"	""	""	""	"LILRA2"	""	"CD37"
""	""	"HLA-DQA1"	""	"NAGPA"	""	""	""	"ITK"	"IL2RB"	"PRF1"	""	"SLAMF8"	""	""	""	"LILRB1"	""	"CD38"
""	""	"IDO1"	""	"NCF2"	""	""	""	"LY9"	"ITGAL"	"PTPN7"	""	"SLC31A1"	""	""	""	"LILRB2"	""	"CD3D"
""	""	"IL10RA"	""	"NCKAP1L"	""	""	""	"MBNL1"	"ITK"	"PVRIG"	""	"TFEC"	""	""	""	"LILRB3"	""	"CD3G"
""	""	"IL2RA"	""	"NECAP2"	""	""	""	"NECAP2"	"KLRD1"	"SASH3"	""	"TMEM33"	""	""	""	"LRRFIP1"	""	"CD6"
""	""	"KDM6B"	""	"NSMAF"	""	""	""	"NFKB1"	"KLRK1"	""	""	"TNIP3"	""	""	""	"MEFV"	""	"CD69"
""	""	"KYNU"	""	"NUMB"	""	""	""	"OSM"	"LY9"	""	""	"TPP1"	""	""	""	"MNDA"	""	"CD80"
""	""	"LILRB1"	""	"PILRA"	""	""	""	"PIK3IP1"	"MYO1F"	""	""	""	""	""	""	"MS4A6A"	""	"CD84"
""	""	"LILRB2"	""	"PLA2G7"	""	""	""	"PTGER2"	"NFKB1"	""	""	""	""	""	""	"MYO1F"	""	"CD86"
""	""	"MNDA"	""	"PLEKHB2"	""	""	""	"PVRIG"	"NKG7"	""	""	""	""	""	""	"NCF2"	""	"CD96"
""	""	"MS4A6A"	""	"SIGLEC1"	""	""	""	"SAMSN1"	"PIK3IP1"	""	""	""	""	""	""	"NCF4"	""	"CHI3L1"
""	""	"MTHFD2"	""	"SLAMF8"	""	""	""	"SELPLG"	"PRF1"	""	""	""	""	""	""	"OSM"	""	"CISH"
""	""	"NAGPA"	""	"SLC31A1"	""	""	""	"STAP1"	"PVRIG"	""	""	""	""	""	""	"P2RY13"	""	"CLEC10A"
""	""	"NCF2"	""	"SNX2"	""	""	""	"TNFSF8"	"PYHIN1"	""	""	""	""	""	""	"PILRA"	""	"CLEC4A"
""	""	"NECAP2"	""	"TFEC"	""	""	""	"TRAF1"	"SASH3"	""	""	""	""	""	""	"PLEK"	""	"CLEC4E"
""	""	"NFKB1"	""	"TMEM33"	""	""	""	"TRAT1"	"TNFSF8"	""	""	""	""	""	""	"PTEN"	""	"CLEC7A"
