"B_cells"	"Cytotoxic_cells"	"Dendritic_cells"	"Eosinophils"	"Macrophages"	"Mast_cells"	"NK_cells"	"Neutrophils"	"T_cells_CD4"	"T_cells_CD8"	"T_cells_gamma_delta"	"T_regulatory_cells"	"Macrophages_M1"	"Macrophages_M2"	"Endothelial"	"Fibroblasts"	"Monocytes"	"Plasma_cells"	"Immune_Score"
"STAP1"	""	"IL10RA"	""	"STAB1"	""	"SERPINB9"	""	"IKZF1"	"IL16"	"PTPN7"	""	"TREM2"	""	""	""	"NCF2"	""	"CD247"
"TNFRSF17"	""	"IL12B"	""	"TFEC"	""	"TBX21"	""	"IL10RA"	"IL18RAP"	"PVRIG"	""	""	""	""	""	"NCF4"	""	"CD27"
"VPREB3"	""	"IL2RA"	""	"TREM2"	""	"XCL1"	""	"IL16"	"IL2RB"	"SASH3"	""	""	""	""	""	"OSM"	""	"CD300A"
""	""	"IL3RA"	""	""	""	""	""	"IL2RA"	"ITGAL"	"SLAMF1"	""	""	""	""	""	"P2RY13"	""	"CD37"
""	""	"IRF4"	""	""	""	""	""	"IL2RB"	"ITK"	"TBX21"	""	""	""	""	""	"PILRA"	""	"CD38"
""	""	"KYNU"	""	""	""	""	""	"ITGB7"	"KLRB1"	""	""	""	""	""	""	"PLEK"	""	"CD3E"
""	""	"LILRB1"	""	""	""	""	""	"ITK"	"KLRD1"	""	""	""	""	""	""	"POU2F2"	""	"CD3G"
""	""	"LILRB2"	""	""	""	""	""	"JAK3"	"KLRG1"	""	""	""	""	""	""	"PPM1F"	""	"CD40"
""	""	"MNDA"	""	""	""	""	""	"KLRB1"	"KLRK1"	""	""	""	""	""	""	"RGS19"	""	"CD5"
""	""	"MS4A6A"	""	""	""	""	""	"LCK"	"LAG3"	""	""	""	""	""	""	"RHOG"	""	"CD53"
""	""	"NCF2"	""	""	""	""	""	"LTA"	"LCK"	""	""	""	""	""	""	"RNASE2"	""	"CD6"
""	""	"NECAP2"	""	""	""	""	""	"LY9"	"LY9"	""	""	""	""	""	""	"S100A12"	""	"CD69"
""	""	"NFKB1"	""	""	""	""	""	"MBNL1"	"MMP19"	""	""	""	""	""	""	"SAMSN1"	""	"CD7"
""	""	"NR4A3"	""	""	""	""	""	"NECAP2"	"MYO1F"	""	""	""	""	""	""	"STAB1"	""	"CD79A"
""	""	"OSM"	""	""	""	""	""	"NFKB1"	"NCR3"	""	""	""	""	""	""	"TLR2"	""	"CD79B"
""	""	"PLA2G7"	""	""	""	""	""	"OSM"	"NFKB1"	""	""	""	""	""	""	"TLR8"	""	"CD80"
""	""	"RAPGEF1"	""	""	""	""	""	"PIK3IP1"	"NKG7"	""	""	""	""	""	""	"VASP"	""	"CD84"
""	""	"RHOG"	""	""	""	""	""	"PTGER2"	"PIK3IP1"	""	""	""	""	""	""	"WAS"	""	"CD86"
""	""	"RNASE6"	""	""	""	""	""	"PTPRCAP"	"PRF1"	""	""	""	""	""	""	""	""	"CD8B"
""	""	"RUNX2"	""	""	""	""	""	"PVRIG"	"PTGDR"	""	""	""	""	""	""	""	""	"CD96"
""	""	"SAMSN1"	""	""	""	""	""	"RBMS1"	"PTPRC"	""	""	""	""	""	""	""	""	"CFP"
""	""	"SIGLEC1"	""	""	""	""	""	"RGS1"	"PTPRCAP"	""	""	""	""	""	""	""	""	"CHI3L1"
""	""	"SLAMF1"	""	""	""	""	""	"SAMSN1"	"PVRIG"	""	""	""	""	""	""	""	""	"CHST12"
""	""	"SLAMF8"	""	""	""	""	""	"SELPLG"	"PYHIN1"	""	""	""	""	""	""	""	""	"CLEC10A"
""	""	"SPIB"	""	""	""	""	""	"SLAMF1"	"RGS1"	""	""	""	""	""	""	""	""	"CLEC4A"
""	""	"STAB1"	""	""	""	""	""	"STAP1"	"RHOG"	""	""	""	""	""	""	""	""	"CLEC4E"
""	""	"TFEC"	""	""	""	""	""	"TBX21"	"SASH3"	""	""	""	""	""	""	""	""	"CLEC7A"
""	""	"TM7SF4"	""	""	""	""	""	"TCF7"	"SLAMF1"	""	""	""	""	""	""	""	""	"CLIC2"
""	""	"TNFAIP6"	""	""	""	""	""	"TNFRSF4"	"TBX21"	""	""	""	""	""	""	""	""	"CR1"
""	""	"TNFRSF4"	""	""	""	""	""	"TNFSF8"	"TNFSF8"	""	""	""	""	""	""	""	""	"CREB5"
""	""	"TRAF1"	""	""	""	""	""	"TRADD"	"TRADD"	""	""	""	""	""	""	""	""	"CRTAM"
""	""	"TREM2"	""	""	""	""	""	"TRAF1"	"TRAF3IP3"	""	""	""	""	""	""	""	""	"CSF1"
""	""	""	""	""	""	""	""	"TRAF3IP3"	"WAS"	""	""	""	""	""	""	""	""	"CSF1R"
""	""	""	""	""	""	""	""	"TRAT1"	"XCL1"	""	""	""	""	""	""	""	""	"CSF2RB"
""	""	""	""	""	""	""	""	"ZAP70"	"ZAP70"	""	""	""	""	""	""	""	""	"CST7"
""	""	""	""	""	""	""	""	""	"ZFP36L2"	""	""	""	""	""	""	""	""	"CTLA4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CTSW"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CX3CR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL10"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL11"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL5"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCL9"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CXCR6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYBA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYBB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"CYTH4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DOK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DPEP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DUSP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EBI3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EMR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ENTPD1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"EOMES"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FAIM3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FAM65B"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FASLG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCAR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCER1A"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCN1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FCRL2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FDX1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGFBP2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGL2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FGR"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"FPR3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GIMAP4"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GIMAP6"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GMIP"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GNG7"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR132"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR15"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR171"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR18"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR183"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPR65"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GPSM3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMA"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMB"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMH"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"GZMM"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"H6PD"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HAVCR2"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HCK"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HK3"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HLA-DQA1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"HS3ST3B1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"ICOS"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IDO1"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IFNG"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"IGSF6"
