"Gene"	"Cancer"
"50998"	"ADCY5"	"LIHC"
"50999"	"ADCY7"	"LIHC"
"51000"	"ADCYAP1"	"LIHC"
"51001"	"ADD2"	"LIHC"
"51002"	"ADGRA1"	"LIHC"
"51003"	"ADGRA2"	"LIHC"
"51004"	"ADGRB1"	"LIHC"
"51005"	"ADGRB2"	"LIHC"
"51006"	"ADGRB3"	"LIHC"
"51007"	"ADGRE1"	"LIHC"
"51008"	"ADGRE2"	"LIHC"
"51009"	"ADGRE3"	"LIHC"
"51010"	"ADGRE4P"	"LIHC"
"51011"	"ADGRE5"	"LIHC"
"51012"	"ADGRF4"	"LIHC"
"51013"	"ADGRF5"	"LIHC"
"51014"	"ADGRG1"	"LIHC"
"51015"	"ADGRG5"	"LIHC"
"51016"	"ADGRL1"	"LIHC"
"51017"	"ADGRL3"	"LIHC"
"51018"	"ADGRL4"	"LIHC"
"51019"	"ADM5"	"LIHC"
"51020"	"ADO"	"LIHC"
"51021"	"ADORA2A"	"LIHC"
"51022"	"ADORA3"	"LIHC"
"51023"	"ADPRH"	"LIHC"
"51024"	"ADPRHL2"	"LIHC"
"51025"	"ADRA1D"	"LIHC"
"51026"	"ADRA2A"	"LIHC"
"51027"	"ADRBK1"	"LIHC"
"51028"	"ADRBK2"	"LIHC"
"51029"	"ADTRP"	"LIHC"
"51030"	"AEBP1"	"LIHC"
"51031"	"AFAP1"	"LIHC"
"51032"	"AFAP1L1"	"LIHC"
"51033"	"AFAP1L2"	"LIHC"
"51034"	"AGAP2"	"LIHC"
"51035"	"AGAP2-AS1"	"LIHC"
"51036"	"AGPAT4"	"LIHC"
"51037"	"AGPAT4-IT1"	"LIHC"
"51038"	"AGR2"	"LIHC"
"51039"	"AGRN"	"LIHC"
"51040"	"AGTRAP"	"LIHC"
"51041"	"AHNAK2"	"LIHC"
"51042"	"AICDA"	"LIHC"
"51043"	"AIF1"	"LIHC"
"51044"	"AIF1L"	"LIHC"
"51045"	"AIM2"	"LIHC"
"51046"	"AJAP1"	"LIHC"
"51047"	"AK5"	"LIHC"
"51048"	"AK8"	"LIHC"
"51049"	"AKNA"	"LIHC"
"51050"	"AKR1B1"	"LIHC"
"51051"	"AKR1E2"	"LIHC"
"51052"	"AKT3"	"LIHC"
"51053"	"ALDH1A2"	"LIHC"
"51054"	"ALDH1A3"	"LIHC"
"51055"	"ALDH1L2"	"LIHC"
"51056"	"ALDH3B1"	"LIHC"
"51057"	"ALDOA"	"LIHC"
"51058"	"ALLC"	"LIHC"
"51059"	"ALOX15B"	"LIHC"
"51060"	"ALOX5"	"LIHC"
"51061"	"ALOX5AP"	"LIHC"
"51062"	"ALOXE3"	"LIHC"
"51063"	"ALPK1"	"LIHC"
"51064"	"AMD1"	"LIHC"
"51065"	"AMHR2"	"LIHC"
"51066"	"AMIGO2"	"LIHC"
"51067"	"AMPD1"	"LIHC"
"51068"	"AMPD3"	"LIHC"
"51069"	"AMPH"	"LIHC"
"51070"	"AMZ1"	"LIHC"
"51071"	"ANGPT1"	"LIHC"
"51072"	"ANGPTL2"	"LIHC"
"51073"	"ANK1"	"LIHC"
"51074"	"ANK2"	"LIHC"
"51075"	"ANK3"	"LIHC"
"51076"	"ANKDD1A"	"LIHC"
"51077"	"ANKRD1"	"LIHC"
"51078"	"ANKRD11"	"LIHC"
"51079"	"ANKRD13D"	"LIHC"
"51080"	"ANKRD22"	"LIHC"
"51081"	"ANKRD36BP2"	"LIHC"
"51082"	"ANKRD55"	"LIHC"
"51083"	"ANO4"	"LIHC"
"51084"	"ANO9"	"LIHC"
"51085"	"ANOS1"	"LIHC"
"51086"	"ANTXR1"	"LIHC"
"51087"	"ANTXR2"	"LIHC"
"51088"	"ANXA1"	"LIHC"
"51089"	"ANXA11"	"LIHC"
"51090"	"ANXA13"	"LIHC"
"51091"	"ANXA2"	"LIHC"
"51092"	"ANXA2P1"	"LIHC"
"51093"	"ANXA2P2"	"LIHC"
"51094"	"ANXA2P3"	"LIHC"
"51095"	"ANXA3"	"LIHC"
"51096"	"ANXA4"	"LIHC"
"51097"	"ANXA5"	"LIHC"
"51098"	"ANXA8"	"LIHC"
"51099"	"AOAH"	"LIHC"
"51100"	"AOC3"	"LIHC"
"51101"	"AP1B1"	"LIHC"
"51102"	"AP1S2"	"LIHC"
"51103"	"AP5B1"	"LIHC"
"51104"	"APBA2"	"LIHC"
"51105"	"APBB1IP"	"LIHC"
"51106"	"APCDD1"	"LIHC"
"51107"	"APCDD1L"	"LIHC"
"51108"	"APLNR"	"LIHC"
"51109"	"APLP1"	"LIHC"
"51110"	"APOA4"	"LIHC"
"51111"	"APOBEC3A"	"LIHC"
"51112"	"APOBEC3C"	"LIHC"
"51113"	"APOBEC3D"	"LIHC"
"51114"	"APOBEC3F"	"LIHC"
"51115"	"APOBEC3G"	"LIHC"
"51116"	"APOBEC3H"	"LIHC"
"51117"	"APOBR"	"LIHC"
"51118"	"APOD"	"LIHC"
"51119"	"APOL1"	"LIHC"
"51120"	"APOL3"	"LIHC"
"51121"	"APOL4"	"LIHC"
"51122"	"AQP1"	"LIHC"
"51123"	"ARAP1"	"LIHC"
"51124"	"ARAP2"	"LIHC"
"51125"	"ARAP3"	"LIHC"
"51126"	"AREG"	"LIHC"
"51127"	"ARF3"	"LIHC"
"51128"	"ARF4"	"LIHC"
"51129"	"ARHGAP1"	"LIHC"
"51130"	"ARHGAP10"	"LIHC"
"51131"	"ARHGAP15"	"LIHC"
"51132"	"ARHGAP17"	"LIHC"
"51133"	"ARHGAP18"	"LIHC"
"51134"	"ARHGAP22"	"LIHC"
"51135"	"ARHGAP23"	"LIHC"
"51136"	"ARHGAP25"	"LIHC"
"51137"	"ARHGAP27"	"LIHC"
"51138"	"ARHGAP28"	"LIHC"
"51139"	"ARHGAP30"	"LIHC"
"51140"	"ARHGAP31"	"LIHC"
"51141"	"ARHGAP4"	"LIHC"
"51142"	"ARHGAP44"	"LIHC"
"51143"	"ARHGAP6"	"LIHC"
"51144"	"ARHGAP8"	"LIHC"
"51145"	"ARHGAP9"	"LIHC"
"51146"	"ARHGDIB"	"LIHC"
"51147"	"ARHGDIG"	"LIHC"
"51148"	"ARHGEF10"	"LIHC"
"51149"	"ARHGEF15"	"LIHC"
"51150"	"ARHGEF16"	"LIHC"
"51151"	"ARHGEF17"	"LIHC"
"51152"	"ARHGEF2"	"LIHC"
"51153"	"ARHGEF25"	"LIHC"
"51154"	"ARHGEF3"	"LIHC"
"51155"	"ARHGEF4"	"LIHC"
"51156"	"ARHGEF6"	"LIHC"
"51157"	"ARID5B"	"LIHC"
"51158"	"ARL11"	"LIHC"
"51159"	"ARL14"	"LIHC"
"51160"	"ARL2"	"LIHC"
"51161"	"ARL4C"	"LIHC"
"51162"	"ARL6IP5"	"LIHC"
"51163"	"ARL9"	"LIHC"
"51164"	"ARMC4"	"LIHC"
"51165"	"ARMCX1"	"LIHC"
"51166"	"ARMCX2"	"LIHC"
"51167"	"ARMCX3"	"LIHC"
"51168"	"ARMCX6"	"LIHC"
"51169"	"ARNT2"	"LIHC"
"51170"	"ARNTL2"	"LIHC"
"51171"	"ARPC1B"	"LIHC"
"51172"	"ARPC2"	"LIHC"
"51173"	"ARPC3"	"LIHC"
"51174"	"ARPC4"	"LIHC"
"51175"	"ARPC5L"	"LIHC"
"51176"	"ARRB1"	"LIHC"
"51177"	"ARRB2"	"LIHC"
"51178"	"ARRDC5"	"LIHC"
"51179"	"ARSI"	"LIHC"
"51180"	"ARSJ"	"LIHC"
"51181"	"ART3"	"LIHC"
"51182"	"ART5"	"LIHC"
"51183"	"ASAH1"	"LIHC"
"51184"	"ASAP1"	"LIHC"
"51185"	"ASB1"	"LIHC"
"51186"	"ASB2"	"LIHC"
"51187"	"ASCL2"	"LIHC"
"51188"	"ASIC2"	"LIHC"
"51189"	"ASNS"	"LIHC"
"51190"	"ASPG"	"LIHC"
"51191"	"ASPHD2"	"LIHC"
"51192"	"ASPN"	"LIHC"
"51193"	"ASTL"	"LIHC"
"51194"	"ATG101"	"LIHC"
"51195"	"ATG7"	"LIHC"
"51196"	"ATG9B"	"LIHC"
"51197"	"ATP10A"	"LIHC"
"51198"	"ATP10B"	"LIHC"
"51199"	"ATP13A1"	"LIHC"
"51200"	"ATP13A2"	"LIHC"
"51201"	"ATP13A4"	"LIHC"
"51202"	"ATP1A2"	"LIHC"
"51203"	"ATP1A3"	"LIHC"
"51204"	"ATP1A4"	"LIHC"
"51205"	"ATP1B2"	"LIHC"
"51206"	"ATP1B3"	"LIHC"
"51207"	"ATP2A3"	"LIHC"
"51208"	"ATP2B4"	"LIHC"
"51209"	"ATP2C2"	"LIHC"
"51210"	"ATP6V0B"	"LIHC"
"51211"	"ATP6V0D2"	"LIHC"
"51212"	"ATP6V1B1"	"LIHC"
"51213"	"ATP6V1B2"	"LIHC"
"51214"	"ATP6V1E1"	"LIHC"
"51215"	"ATP6V1F"	"LIHC"
"51216"	"ATP6V1H"	"LIHC"
"51217"	"ATP8A1"	"LIHC"
"51218"	"ATP8A2"	"LIHC"
"51219"	"ATP8B2"	"LIHC"
"51220"	"ATP8B4"	"LIHC"
"51221"	"AXL"	"LIHC"
"51222"	"B2M"	"LIHC"
"51223"	"B3GALNT1"	"LIHC"
"51224"	"B3GALT2"	"LIHC"
"51225"	"B3GALT4"	"LIHC"
"51226"	"B3GALT5"	"LIHC"
"51227"	"B3GALT5-AS1"	"LIHC"
"51228"	"B3GAT1"	"LIHC"
"51229"	"B3GNT3"	"LIHC"
"51230"	"B3GNT4"	"LIHC"
"51231"	"B3GNT7"	"LIHC"
"51232"	"B3GNT8"	"LIHC"
"51233"	"B3GNT9"	"LIHC"
"51234"	"B4GALNT1"	"LIHC"
"51235"	"B4GALNT4"	"LIHC"
"51236"	"B4GALT5"	"LIHC"
"51237"	"B9D2"	"LIHC"
"51238"	"BAALC"	"LIHC"
"51239"	"BACE2"	"LIHC"
"51240"	"BACH2"	"LIHC"
"51241"	"BAG3"	"LIHC"
"51242"	"BAK1"	"LIHC"
"51243"	"BANK1"	"LIHC"
"51244"	"BARX2"	"LIHC"
"51245"	"BASP1"	"LIHC"
"51246"	"BATF"	"LIHC"
"51247"	"BATF2"	"LIHC"
"51248"	"BATF3"	"LIHC"
"51249"	"BAX"	"LIHC"
"51250"	"BCAR1"	"LIHC"
"51251"	"BCAS4"	"LIHC"
"51252"	"BCAT1"	"LIHC"
"51253"	"BCL11A"	"LIHC"
"51254"	"BCL11B"	"LIHC"
"51255"	"BCL2"	"LIHC"
"51256"	"BCL2A1"	"LIHC"
"51257"	"BCL3"	"LIHC"
"51258"	"BCL6B"	"LIHC"
"51259"	"BCORP1"	"LIHC"
"51260"	"BCR"	"LIHC"
"51261"	"BDKRB1"	"LIHC"
"51262"	"BDKRB2"	"LIHC"
"51263"	"BDNF"	"LIHC"
"51264"	"BEAN1"	"LIHC"
"51265"	"BEGAIN"	"LIHC"
"51266"	"BEND4"	"LIHC"
"51267"	"BEND5"	"LIHC"
"51268"	"BEND6"	"LIHC"
"51269"	"BEST1"	"LIHC"
"51270"	"BEX4"	"LIHC"
"51271"	"BFSP2"	"LIHC"
"51272"	"BGN"	"LIHC"
"51273"	"BHLHE22"	"LIHC"
"51274"	"BHLHE41"	"LIHC"
"51275"	"BICC1"	"LIHC"
"51276"	"BICD1"	"LIHC"
"51277"	"BID"	"LIHC"
"51278"	"BIN2"	"LIHC"
"51279"	"BIRC3"	"LIHC"
"51280"	"BIRC7"	"LIHC"
"51281"	"BLK"	"LIHC"
"51282"	"BLOC1S4"	"LIHC"
"51283"	"BLVRA"	"LIHC"
"51284"	"BMF"	"LIHC"
"51285"	"BMP2K"	"LIHC"
"51286"	"BMP3"	"LIHC"
"51287"	"BMP5"	"LIHC"
"51288"	"BMP6"	"LIHC"
"51289"	"BMP8A"	"LIHC"
"51290"	"BMPER"	"LIHC"
"51291"	"BMPR1B"	"LIHC"
"51292"	"BMS1P20"	"LIHC"
"51293"	"BMX"	"LIHC"
"51294"	"BNC1"	"LIHC"
"51295"	"BNC2"	"LIHC"
"51296"	"BNIP1"	"LIHC"
"51297"	"BOC"	"LIHC"
"51298"	"BPIFB1"	"LIHC"
"51299"	"BRINP1"	"LIHC"
"51300"	"BRINP2"	"LIHC"
"51301"	"BRSK1"	"LIHC"
"51302"	"BST1"	"LIHC"
"51303"	"BST2"	"LIHC"
"51304"	"BTBD1"	"LIHC"
"51305"	"BTBD10"	"LIHC"
"51306"	"BTBD19"	"LIHC"
"51307"	"BTG1"	"LIHC"
"51308"	"BTG2"	"LIHC"
"51309"	"BTK"	"LIHC"
"51310"	"BTLA"	"LIHC"
"51311"	"BVES"	"LIHC"
"51312"	"C10ORF107"	"LIHC"
"51313"	"C10ORF128"	"LIHC"
"51314"	"C10ORF54"	"LIHC"
"51315"	"C10ORF55"	"LIHC"
"51316"	"C10ORF90"	"LIHC"
"51317"	"C10ORF91"	"LIHC"
"51318"	"C11ORF21"	"LIHC"
"51319"	"C11ORF45"	"LIHC"
"51320"	"C11ORF63"	"LIHC"
"51321"	"C11ORF70"	"LIHC"
"51322"	"C11ORF96"	"LIHC"
"51323"	"C12ORF4"	"LIHC"
"51324"	"C12ORF49"	"LIHC"
"51325"	"C14ORF180"	"LIHC"
"51326"	"C14ORF37"	"LIHC"
"51327"	"C15ORF39"	"LIHC"
"51328"	"C15ORF52"	"LIHC"
"51329"	"C15ORF53"	"LIHC"
"51330"	"C15ORF57"	"LIHC"
"51331"	"C15ORF59"	"LIHC"
"51332"	"C16ORF54"	"LIHC"
"51333"	"C16ORF74"	"LIHC"
"51334"	"C16ORF89"	"LIHC"
"51335"	"C17ORF102"	"LIHC"
"51336"	"C17ORF49"	"LIHC"
"51337"	"C18ORF54"	"LIHC"
"51338"	"C19ORF33"	"LIHC"
"51339"	"C19ORF35"	"LIHC"
"51340"	"C19ORF38"	"LIHC"
"51341"	"C1GALT1C1L"	"LIHC"
"51342"	"C1ORF106"	"LIHC"
"51343"	"C1ORF116"	"LIHC"
"51344"	"C1ORF127"	"LIHC"
"51345"	"C1ORF162"	"LIHC"
"51346"	"C1ORF204"	"LIHC"
"51347"	"C1ORF54"	"LIHC"
"51348"	"C1QA"	"LIHC"
"51349"	"C1QB"	"LIHC"
"51350"	"C1QBP"	"LIHC"
"51351"	"C1QC"	"LIHC"
"51352"	"C1QTNF1"	"LIHC"
"51353"	"C1QTNF2"	"LIHC"
"51354"	"C1QTNF7"	"LIHC"
"51355"	"C20ORF141"	"LIHC"
"51356"	"C20ORF166-AS1"	"LIHC"
"51357"	"C20ORF194"	"LIHC"
"51358"	"C20ORF195"	"LIHC"
"51359"	"C20ORF197"	"LIHC"
"51360"	"C20ORF203"	"LIHC"
"51361"	"C20ORF24"	"LIHC"
"51362"	"C21ORF62"	"LIHC"
"51363"	"C22ORF34"	"LIHC"
"51364"	"C2CD2"	"LIHC"
"51365"	"C2CD4A"	"LIHC"
"51366"	"C2CD4B"	"LIHC"
"51367"	"C2CD4C"	"LIHC"
"51368"	"C2ORF27A"	"LIHC"
"51369"	"C2ORF40"	"LIHC"
"51370"	"C2ORF70"	"LIHC"
"51371"	"C2ORF81"	"LIHC"
"51372"	"C3AR1"	"LIHC"
"51373"	"C3ORF36"	"LIHC"
"51374"	"C3ORF52"	"LIHC"
"51375"	"C3ORF70"	"LIHC"
"51376"	"C4ORF48"	"LIHC"
"51377"	"C4ORF50"	"LIHC"
"51378"	"C5AR1"	"LIHC"
"51379"	"C5ORF30"	"LIHC"
"51380"	"C5ORF46"	"LIHC"
"51381"	"C5ORF56"	"LIHC"
"51382"	"C5ORF64"	"LIHC"
"51383"	"C6ORF132"	"LIHC"
"51384"	"C6ORF222"	"LIHC"
"51385"	"C7"	"LIHC"
"51386"	"C7ORF43"	"LIHC"
"51387"	"C7ORF61"	"LIHC"
"51388"	"C8ORF31"	"LIHC"
"51389"	"C8ORF34"	"LIHC"
"51390"	"C8ORF4"	"LIHC"
"51391"	"C8ORF48"	"LIHC"
"51392"	"C8ORF58"	"LIHC"
"51393"	"C8ORF76"	"LIHC"
"51394"	"C9"	"LIHC"
"51395"	"C9ORF139"	"LIHC"
"51396"	"C9ORF66"	"LIHC"
"51397"	"CA11"	"LIHC"
"51398"	"CA12"	"LIHC"
"51399"	"CABP4"	"LIHC"
"51400"	"CACNA1A"	"LIHC"
"51401"	"CACNA1C"	"LIHC"
"51402"	"CACNA1G"	"LIHC"
"51403"	"CACNA1H"	"LIHC"
"51404"	"CACNA1I"	"LIHC"
"51405"	"CACNA2D1"	"LIHC"
"51406"	"CACNA2D3"	"LIHC"
"51407"	"CACNA2D4"	"LIHC"
"51408"	"CACNB1"	"LIHC"
"51409"	"CACNB3"	"LIHC"
"51410"	"CACUL1"	"LIHC"
"51411"	"CADM3"	"LIHC"
"51412"	"CADPS"	"LIHC"
"51413"	"CALB2"	"LIHC"
"51414"	"CALCA"	"LIHC"
"51415"	"CALCR"	"LIHC"
"51416"	"CALCRL"	"LIHC"
"51417"	"CALHM2"	"LIHC"
"51418"	"CALU"	"LIHC"
"51419"	"CAMK1G"	"LIHC"
"51420"	"CAMK4"	"LIHC"
"51421"	"CAMKK1"	"LIHC"
"51422"	"CAMP"	"LIHC"
"51423"	"CAMTA2"	"LIHC"
"51424"	"CAND2"	"LIHC"
"51425"	"CAP1"	"LIHC"
"51426"	"CAPG"	"LIHC"
"51427"	"CAPN11"	"LIHC"
"51428"	"CAPN2"	"LIHC"
"51429"	"CAPN6"	"LIHC"
"51430"	"CAPNS1"	"LIHC"
"51431"	"CAPZA1"	"LIHC"
"51432"	"CAPZB"	"LIHC"
"51433"	"CARD11"	"LIHC"
"51434"	"CARD14"	"LIHC"
"51435"	"CARD16"	"LIHC"
"51436"	"CARD6"	"LIHC"
"51437"	"CARD9"	"LIHC"
"51438"	"CARMN"	"LIHC"
"51439"	"CARS"	"LIHC"
"51440"	"CASC15"	"LIHC"
"51441"	"CASP1"	"LIHC"
"51442"	"CASP10"	"LIHC"
"51443"	"CASP4"	"LIHC"
"51444"	"CASP5"	"LIHC"
"51445"	"CATSPER1"	"LIHC"
"51446"	"CATSPERB"	"LIHC"
"51447"	"CAV1"	"LIHC"
"51448"	"CBARP"	"LIHC"
"51449"	"CBFA2T3"	"LIHC"
"51450"	"CBFB"	"LIHC"
"51451"	"CBL"	"LIHC"
"51452"	"CBR3"	"LIHC"
"51453"	"CBX6"	"LIHC"
"51454"	"CC2D2B"	"LIHC"
"51455"	"CCBE1"	"LIHC"
"51456"	"CCDC102A"	"LIHC"
"51457"	"CCDC102B"	"LIHC"
"51458"	"CCDC109B"	"LIHC"
"51459"	"CCDC136"	"LIHC"
"51460"	"CCDC141"	"LIHC"
"51461"	"CCDC149"	"LIHC"
"51462"	"CCDC160"	"LIHC"
"51463"	"CCDC184"	"LIHC"
"51464"	"CCDC3"	"LIHC"
"51465"	"CCDC36"	"LIHC"
"51466"	"CCDC64B"	"LIHC"
"51467"	"CCDC65"	"LIHC"
"51468"	"CCDC71L"	"LIHC"
"51469"	"CCDC74A"	"LIHC"
"51470"	"CCDC74B"	"LIHC"
"51471"	"CCDC8"	"LIHC"
"51472"	"CCDC80"	"LIHC"
"51473"	"CCDC81"	"LIHC"
"51474"	"CCDC85B"	"LIHC"
"51475"	"CCDC88B"	"LIHC"
"51476"	"CCDC88C"	"LIHC"
"51477"	"CCDC89"	"LIHC"
"51478"	"CCDC96"	"LIHC"
"51479"	"CCIN"	"LIHC"
"51480"	"CCL11"	"LIHC"
"51481"	"CCL13"	"LIHC"
"51482"	"CCL17"	"LIHC"
"51483"	"CCL18"	"LIHC"
"51484"	"CCL19"	"LIHC"
"51485"	"CCL2"	"LIHC"
"51486"	"CCL20"	"LIHC"
"51487"	"CCL21"	"LIHC"
"51488"	"CCL22"	"LIHC"
"51489"	"CCL23"	"LIHC"
"51490"	"CCL26"	"LIHC"
"51491"	"CCL3"	"LIHC"
"51492"	"CCL3L1"	"LIHC"
"51493"	"CCL4"	"LIHC"
"51494"	"CCL4L1"	"LIHC"
"51495"	"CCL5"	"LIHC"
"51496"	"CCL7"	"LIHC"
"51497"	"CCL8"	"LIHC"
"51498"	"CCM2L"	"LIHC"
"51499"	"CCNA1"	"LIHC"
"51500"	"CCND2"	"LIHC"
"51501"	"CCND3"	"LIHC"
"51502"	"CCNI2"	"LIHC"
"51503"	"CCNJ"	"LIHC"
"51504"	"CCNJL"	"LIHC"
"51505"	"CCR1"	"LIHC"
"51506"	"CCR10"	"LIHC"
"51507"	"CCR2"	"LIHC"
"51508"	"CCR3"	"LIHC"
"51509"	"CCR4"	"LIHC"
"51510"	"CCR5"	"LIHC"
"51511"	"CCR6"	"LIHC"
"51512"	"CCR7"	"LIHC"
"51513"	"CCR8"	"LIHC"
"51514"	"CCR9"	"LIHC"
"51515"	"CCRL2"	"LIHC"
"51516"	"CCSER1"	"LIHC"
"51517"	"CCT6A"	"LIHC"
"51518"	"CCZ1"	"LIHC"
"51519"	"CD101"	"LIHC"
"51520"	"CD151"	"LIHC"
"51521"	"CD160"	"LIHC"
"51522"	"CD163"	"LIHC"
"51523"	"CD163L1"	"LIHC"
"51524"	"CD177"	"LIHC"
"51525"	"CD180"	"LIHC"
"51526"	"CD19"	"LIHC"
"51527"	"CD1A"	"LIHC"
"51528"	"CD1B"	"LIHC"
"51529"	"CD1C"	"LIHC"
"51530"	"CD1E"	"LIHC"
"51531"	"CD2"	"LIHC"
"51532"	"CD200"	"LIHC"
"51533"	"CD200R1"	"LIHC"
"51534"	"CD207"	"LIHC"
"51535"	"CD209"	"LIHC"
"51536"	"CD22"	"LIHC"
"51537"	"CD226"	"LIHC"
"51538"	"CD24"	"LIHC"
"51539"	"CD244"	"LIHC"
"51540"	"CD247"	"LIHC"
"51541"	"CD248"	"LIHC"
"51542"	"CD27"	"LIHC"
"51543"	"CD274"	"LIHC"
"51544"	"CD276"	"LIHC"
"51545"	"CD28"	"LIHC"
"51546"	"CD2BP2"	"LIHC"
"51547"	"CD300A"	"LIHC"
"51548"	"CD300C"	"LIHC"
"51549"	"CD300E"	"LIHC"
"51550"	"CD300LB"	"LIHC"
"51551"	"CD300LF"	"LIHC"
"51552"	"CD320"	"LIHC"
"51553"	"CD33"	"LIHC"
"51554"	"CD34"	"LIHC"
"51555"	"CD37"	"LIHC"
"51556"	"CD38"	"LIHC"
"51557"	"CD3D"	"LIHC"
"51558"	"CD3E"	"LIHC"
"51559"	"CD3G"	"LIHC"
"51560"	"CD4"	"LIHC"
"51561"	"CD40LG"	"LIHC"
"51562"	"CD44"	"LIHC"
"51563"	"CD48"	"LIHC"
"51564"	"CD5"	"LIHC"
"51565"	"CD52"	"LIHC"
"51566"	"CD53"	"LIHC"
"51567"	"CD58"	"LIHC"
"51568"	"CD59"	"LIHC"
"51569"	"CD5L"	"LIHC"
"51570"	"CD6"	"LIHC"
"51571"	"CD63"	"LIHC"
"51572"	"CD68"	"LIHC"
"51573"	"CD69"	"LIHC"
"51574"	"CD7"	"LIHC"
"51575"	"CD70"	"LIHC"
"51576"	"CD72"	"LIHC"
"51577"	"CD74"	"LIHC"
"51578"	"CD79A"	"LIHC"
"51579"	"CD79B"	"LIHC"
"51580"	"CD80"	"LIHC"
"51581"	"CD83"	"LIHC"
"51582"	"CD84"	"LIHC"
"51583"	"CD86"	"LIHC"
"51584"	"CD8A"	"LIHC"
"51585"	"CD8B"	"LIHC"
"51586"	"CD93"	"LIHC"
"51587"	"CD96"	"LIHC"
"51588"	"CDC25B"	"LIHC"
"51589"	"CDC42"	"LIHC"
"51590"	"CDC42EP1"	"LIHC"
"51591"	"CDC42EP2"	"LIHC"
"51592"	"CDC42EP3"	"LIHC"
"51593"	"CDC42EP5"	"LIHC"
"51594"	"CDC42SE2"	"LIHC"
"51595"	"CDCA7"	"LIHC"
"51596"	"CDCP1"	"LIHC"
"51597"	"CDH11"	"LIHC"
"51598"	"CDH15"	"LIHC"
"51599"	"CDH17"	"LIHC"
"51600"	"CDH26"	"LIHC"
"51601"	"CDH3"	"LIHC"
"51602"	"CDH5"	"LIHC"
"51603"	"CDH6"	"LIHC"
"51604"	"CDHR1"	"LIHC"
"51605"	"CDHR2"	"LIHC"
"51606"	"CDK2AP1"	"LIHC"
"51607"	"CDKL2"	"LIHC"
"51608"	"CDKN1C"	"LIHC"
"51609"	"CDKN2D"	"LIHC"
"51610"	"CDR1"	"LIHC"
"51611"	"CDR2L"	"LIHC"
"51612"	"CDSN"	"LIHC"
"51613"	"CDV3"	"LIHC"
"51614"	"CDX1"	"LIHC"
"51615"	"CDYL2"	"LIHC"
"51616"	"CEACAM21"	"LIHC"
"51617"	"CEACAM3"	"LIHC"
"51618"	"CEACAM4"	"LIHC"
"51619"	"CEACAM6"	"LIHC"
"51620"	"CEBPE"	"LIHC"
"51621"	"CECR1"	"LIHC"
"51622"	"CECR6"	"LIHC"
"51623"	"CELA1"	"LIHC"
"51624"	"CELF2"	"LIHC"
"51625"	"CEMIP"	"LIHC"
"51626"	"CEND1"	"LIHC"
"51627"	"CEP126"	"LIHC"
"51628"	"CEP135"	"LIHC"
"51629"	"CERCAM"	"LIHC"
"51630"	"CERKL"	"LIHC"
"51631"	"CERS1"	"LIHC"
"51632"	"CERS5"	"LIHC"
"51633"	"CETP"	"LIHC"
"51634"	"CFAP221"	"LIHC"
"51635"	"CFAP45"	"LIHC"
"51636"	"CFD"	"LIHC"
"51637"	"CFL1"	"LIHC"
"51638"	"CFP"	"LIHC"
"51639"	"CFTR"	"LIHC"
"51640"	"CGB7"	"LIHC"
"51641"	"CH25H"	"LIHC"
"51642"	"CHD3"	"LIHC"
"51643"	"CHD5"	"LIHC"
"51644"	"CHGB"	"LIHC"
"51645"	"CHI3L2"	"LIHC"
"51646"	"CHIC2"	"LIHC"
"51647"	"CHIT1"	"LIHC"
"51648"	"CHKB"	"LIHC"
"51649"	"CHL1"	"LIHC"
"51650"	"CHMP3"	"LIHC"
"51651"	"CHMP4B"	"LIHC"
"51652"	"CHN1"	"LIHC"
"51653"	"CHPF2"	"LIHC"
"51654"	"CHRDL1"	"LIHC"
"51655"	"CHRDL2"	"LIHC"
"51656"	"CHRFAM7A"	"LIHC"
"51657"	"CHRNA1"	"LIHC"
"51658"	"CHRNA6"	"LIHC"
"51659"	"CHST1"	"LIHC"
"51660"	"CHST10"	"LIHC"
"51661"	"CHST11"	"LIHC"
"51662"	"CHST12"	"LIHC"
"51663"	"CHST15"	"LIHC"
"51664"	"CHST2"	"LIHC"
"51665"	"CHST3"	"LIHC"
"51666"	"CHST4"	"LIHC"
"51667"	"CHST6"	"LIHC"
"51668"	"CHST7"	"LIHC"
"51669"	"CHST8"	"LIHC"
"51670"	"CHSY1"	"LIHC"
"51671"	"CHSY3"	"LIHC"
"51672"	"CIB2"	"LIHC"
"51673"	"CIITA"	"LIHC"
"51674"	"CILP"	"LIHC"
"51675"	"CILP2"	"LIHC"
"51676"	"CKM"	"LIHC"
"51677"	"CLCF1"	"LIHC"
"51678"	"CLDN10"	"LIHC"
"51679"	"CLDN11"	"LIHC"
"51680"	"CLDN5"	"LIHC"
"51681"	"CLEC10A"	"LIHC"
"51682"	"CLEC11A"	"LIHC"
"51683"	"CLEC12A"	"LIHC"
"51684"	"CLEC12B"	"LIHC"
"51685"	"CLEC14A"	"LIHC"
"51686"	"CLEC17A"	"LIHC"
"51687"	"CLEC1A"	"LIHC"
"51688"	"CLEC1B"	"LIHC"
"51689"	"CLEC2B"	"LIHC"
"51690"	"CLEC2D"	"LIHC"
"51691"	"CLEC3B"	"LIHC"
"51692"	"CLEC4A"	"LIHC"
"51693"	"CLEC4D"	"LIHC"
"51694"	"CLEC4E"	"LIHC"
