"Gene"	"Cancer"
"284"	"BNC1"	"ACC"
"285"	"BNC2"	"ACC"
"286"	"BOC"	"ACC"
"287"	"BPGM"	"ACC"
"288"	"BPI"	"ACC"
"289"	"BRDTP1"	"ACC"
"290"	"BRE"	"ACC"
"291"	"BRE-AS1"	"ACC"
"292"	"BRI3"	"ACC"
"293"	"BRK1"	"ACC"
"294"	"BSCL2"	"ACC"
"295"	"BST1"	"ACC"
"296"	"BST2"	"ACC"
"297"	"BTD"	"ACC"
"298"	"BTG2"	"ACC"
"299"	"BTK"	"ACC"
"300"	"BTLA"	"ACC"
"301"	"BTN3A1"	"ACC"
"302"	"BTN3A3"	"ACC"
"303"	"BTNL9"	"ACC"
"304"	"BVES"	"ACC"
"305"	"C10ORF10"	"ACC"
"306"	"C10ORF128"	"ACC"
"307"	"C10ORF25"	"ACC"
"308"	"C10ORF54"	"ACC"
"309"	"C10ORF55"	"ACC"
"310"	"C10ORF90"	"ACC"
"311"	"C11ORF21"	"ACC"
"312"	"C11ORF31"	"ACC"
"313"	"C11ORF45"	"ACC"
"314"	"C11ORF52"	"ACC"
"315"	"C11ORF63"	"ACC"
"316"	"C11ORF68"	"ACC"
"317"	"C11ORF74"	"ACC"
"318"	"C11ORF88"	"ACC"
"319"	"C11ORF96"	"ACC"
"320"	"C12ORF10"	"ACC"
"321"	"C12ORF42"	"ACC"
"322"	"C12ORF45"	"ACC"
"323"	"C12ORF57"	"ACC"
"324"	"C12ORF74"	"ACC"
"325"	"C15ORF52"	"ACC"
"326"	"C15ORF53"	"ACC"
"327"	"C16ORF54"	"ACC"
"328"	"C16ORF89"	"ACC"
"329"	"C17ORF64"	"ACC"
"330"	"C17ORF67"	"ACC"
"331"	"C17ORF89"	"ACC"
"332"	"C19ORF24"	"ACC"
"333"	"C19ORF35"	"ACC"
"334"	"C19ORF38"	"ACC"
"335"	"C19ORF70"	"ACC"
"336"	"C1ORF123"	"ACC"
"337"	"C1ORF127"	"ACC"
"338"	"C1ORF140"	"ACC"
"339"	"C1ORF162"	"ACC"
"340"	"C1ORF186"	"ACC"
"341"	"C1ORF210"	"ACC"
"342"	"C1ORF216"	"ACC"
"343"	"C1ORF228"	"ACC"
"344"	"C1ORF54"	"ACC"
"345"	"C1ORF56"	"ACC"
"346"	"C1QA"	"ACC"
"347"	"C1QB"	"ACC"
"348"	"C1QC"	"ACC"
"349"	"C1S"	"ACC"
"350"	"C2"	"ACC"
"351"	"C20ORF197"	"ACC"
"352"	"C20ORF27"	"ACC"
"353"	"C22ORF34"	"ACC"
"354"	"C2CD4B"	"ACC"
"355"	"C2ORF40"	"ACC"
"356"	"C2ORF74"	"ACC"
"357"	"C2ORF80"	"ACC"
"358"	"C2ORF88"	"ACC"
"359"	"C3"	"ACC"
"360"	"C3AR1"	"ACC"
"361"	"C3ORF14"	"ACC"
"362"	"C3ORF36"	"ACC"
"363"	"C3ORF79"	"ACC"
