"Gene_Symbol"	"Cancer"
"MS4A6A"	"BRCA"
"MSR1"	"BRCA"
"MXRA5"	"BRCA"
"NOX4"	"BRCA"
"OLFML1"	"BRCA"
"OLFML2B"	"BRCA"
"PAPPA"	"BRCA"
"PDE2A"	"BRCA"
"PDGFRB"	"BRCA"
"PIK3R5"	"BRCA"
"PLXDC1"	"BRCA"
"PLXNC1"	"BRCA"
"PTGIS"	"BRCA"
"RAMP3"	"BRCA"
"RARRES2"	"BRCA"
"RASGRP3"	"BRCA"
"RGS4"	"BRCA"
"RUNX1T1"	"BRCA"
"SAMSN1"	"BRCA"
"SERPING1"	"BRCA"
"SFRP4"	"BRCA"
"SGCD"	"BRCA"
"SH2D1A"	"BRCA"
"SIGLEC1"	"BRCA"
"SP140"	"BRCA"
"SPON1"	"BRCA"
"SPON2"	"BRCA"
"TCF21"	"BRCA"
"TFEC"	"BRCA"
"THBS2"	"BRCA"
"TLR2"	"BRCA"
"TLR7"	"BRCA"
"TNN"	"BRCA"
"TRAT1"	"BRCA"
"VCAM1"	"BRCA"
"VSIG4"	"BRCA"
"WISP1"	"BRCA"
"WNT2"	"BRCA"
"ZEB2"	"BRCA"
"ZFPM2"	"BRCA"
"ZNF423"	"BRCA"
"ABCA6"	"CESC"
"ADAM12"	"CESC"
"AIF1"	"CESC"
"AOC3"	"CESC"
"APBB1IP"	"CESC"
"ASPN"	"CESC"
"ATP8B4"	"CESC"
"BGN"	"CESC"
"BTK"	"CESC"
"C1QA"	"CESC"
"C1QB"	"CESC"
"C3AR1"	"CESC"
"CCR1"	"CESC"
"CD14"	"CESC"
"CD163"	"CESC"
"CD200"	"CESC"
"CD248"	"CESC"
"CD33"	"CESC"
"CD86"	"CESC"
"CD93"	"CESC"
"CDH5"	"CESC"
"CH25H"	"CESC"
"CLEC7A"	"CESC"
"COL14A1"	"CESC"
"COL15A1"	"CESC"
"COL1A2"	"CESC"
"COL3A1"	"CESC"
"COL5A3"	"CESC"
"COL6A3"	"CESC"
"COL8A2"	"CESC"
"COX7A1"	"CESC"
"CSF1R"	"CESC"
"CXCL12"	"CESC"
"CXCL9"	"CESC"
"DCN"	"CESC"
"DDR2"	"CESC"
"DIO2"	"CESC"
"ECM2"	"CESC"
"EDNRA"	"CESC"
"EMCN"	"CESC"
"ENPP2"	"CESC"
"ERG"	"CESC"
"F13A1"	"CESC"
"FAP"	"CESC"
"FASLG"	"CESC"
"FCGR2A"	"CESC"
"FCGR2B"	"CESC"
"FMO1"	"CESC"
"FPR1"	"CESC"
"FRZB"	"CESC"
"GIMAP5"	"CESC"
"GREM1"	"CESC"
"HDC"	"CESC"
"HEPH"	"CESC"
"HGF"	"CESC"
"IGF1"	"CESC"
"IGSF6"	"CESC"
"IL18R1"	"CESC"
"ISLR"	"CESC"
"ITGAM"	"CESC"
"ITIH3"	"CESC"
"ITIH5"	"CESC"
"ITM2A"	"CESC"
"KCNJ8"	"CESC"
"KDR"	"CESC"
"LDB2"	"CESC"
"LMOD1"	"CESC"
"LRRC15"	"CESC"
"LRRC32"	"CESC"
"LUM"	"CESC"
"LY86"	"CESC"
"MMP3"	"CESC"
"MS4A4A"	"CESC"
"MS4A6A"	"CESC"
"MSR1"	"CESC"
"MXRA5"	"CESC"
"NOX4"	"CESC"
"OLFML1"	"CESC"
"OLFML2B"	"CESC"
"PAPPA"	"CESC"
"PCDH12"	"CESC"
"PDE2A"	"CESC"
"PDGFRB"	"CESC"
"PIK3R5"	"CESC"
"PLXDC1"	"CESC"
"PLXNC1"	"CESC"
"PRKG1"	"CESC"
"PTGER3"	"CESC"
"PTGIS"	"CESC"
"RAMP3"	"CESC"
"RARRES2"	"CESC"
"RASGRP3"	"CESC"
"RGS4"	"CESC"
"RSAD2"	"CESC"
"RUNX1T1"	"CESC"
"SAMSN1"	"CESC"
"SERPING1"	"CESC"
"SFRP4"	"CESC"
"SH2D1A"	"CESC"
"SIGLEC1"	"CESC"
"SP140"	"CESC"
"SPON1"	"CESC"
"SPON2"	"CESC"
"SULF1"	"CESC"
"TFEC"	"CESC"
"THBS2"	"CESC"
"TLR2"	"CESC"
"TLR7"	"CESC"
"TNFSF4"	"CESC"
"TNN"	"CESC"
"TRAT1"	"CESC"
"VCAM1"	"CESC"
"VSIG4"	"CESC"
"WISP1"	"CESC"
"WNT2"	"CESC"
"ZEB2"	"CESC"
"ZNF423"	"CESC"
"ABCA6"	"CHOL"
"ACTG2"	"CHOL"
"ADAM12"	"CHOL"
"AIF1"	"CHOL"
"AOC3"	"CHOL"
"APBB1IP"	"CHOL"
"ARHGAP28"	"CHOL"
"ATP8B4"	"CHOL"
"BTK"	"CHOL"
"C1QA"	"CHOL"
"C1QB"	"CHOL"
"C3AR1"	"CHOL"
"CCR1"	"CHOL"
"CD14"	"CHOL"
"CD163"	"CHOL"
"CD200"	"CHOL"
"CD248"	"CHOL"
"CD33"	"CHOL"
"CD86"	"CHOL"
"CD93"	"CHOL"
"CDH5"	"CHOL"
"CH25H"	"CHOL"
"CILP"	"CHOL"
"CLEC7A"	"CHOL"
"COL14A1"	"CHOL"
"COL15A1"	"CHOL"
"COL1A2"	"CHOL"
"COL3A1"	"CHOL"
"COL5A3"	"CHOL"
"COL6A3"	"CHOL"
